//data is taken from Kurokawa et al. Physical Review A 84 2011 http://dx.doi.org/10.1103/PhysRevA.84.062717
//E [eV]	X-S_elastic[1e-16 cm^2]
20.02	18.90
19.02	19.66
18.02	20.65
17.02	21.46
16.02	22.45
15.02	23.37
14.02	23.78
13.02	23.80
12.02	23.28
11.02	22.00
10.02	20.30
9.02	18.18
8.02	15.64
7.02	13.27
6.02	10.95
5.02	8.73
4.52	7.86
4.02	6.94
3.52	6.05
3.02	5.10
2.52	4.20
2.02	3.24
1.823	2.90
1.623	2.54
1.423	2.13
1.223	1.82
1.123	1.55
1.023	1.29
0.923	1.11
0.823	0.94
0.723	0.74
0.623	0.57
0.523	0.47
0.483	0.43
0.443	0.39
0.403	0.35
0.383	0.35
0.363	0.30
0.343	0.33
0.323	0.31
0.301	0.31
0.281	0.32
0.261	0.34
0.241	0.36
0.221	0.42
0.201	0.47
0.181	0.56
0.161	0.62
0.141	0.70
0.121	0.93
0.111	1.00
0.101	1.09
0.091	1.23
0.081	1.35
0.071	1.53
0.061	1.67
0.057	1.68
0.053	1.84
0.049	1.87
0.045	2.04
0.041	2.11
0.037	2.29
0.033	2.46
0.029	2.53
0.027	2.71
0.025	2.80
0.023	2.94
0.021	3.10
0.019	3.26
0.017	3.47
0.015	3.51
0.013	3.82
0.011	4.02
0.009	4.06
0.007	4.24
